distance_km,duration_min,main_road_percentage,crime_density,max_crime_exposure,lighting_score,population_score,traffic_score,crime_hotspot_percentage,hour_of_day,day_of_week,is_weekend,is_night,is_rush_hour,speed_kmh,crime_per_km,lighting_per_km,crime_to_lighting_ratio,crime_to_population_ratio,night_crime_risk,night_lighting_deficit,safety_score
6.9741,7.656666666666666,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,54.65119721375708,0.0,34.8705,0.0,0.0,0,0,100
8.372,10.538333333333332,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,47.66598133797248,0.0,41.86,0.0,0.0,0,0,100
7.4849,9.546666666666665,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,47.04196927374302,0.0,37.424499999999995,0.0,0.0,0,0,100
9.485100000000001,11.793333333333333,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,48.25658564160543,0.0,47.42550000000001,0.0,0.0,0,0,100
8.593200000000001,10.971666666666666,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,46.99304268570562,0.0,42.96600000000001,0.0,0.0,0,0,100
11.729899999999999,16.153333333333332,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,43.569583161370204,0.0,58.649499999999996,0.0,0.0,0,0,100
10.1955,13.856666666666666,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,44.14698099591051,0.0,50.97749999999999,0.0,0.0,0,0,100
9.386899999999999,11.889999999999999,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,47.36871320437342,0.0,46.93449999999999,0.0,0.0,0,0,100
9.386899999999999,11.889999999999999,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,47.36871320437342,0.0,46.93449999999999,0.0,0.0,0,0,100
10.5432,17.973333333333336,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,35.196142433234414,0.0,52.716,0.0,0.0,0,0,100
7.8798,9.728333333333333,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,48.59907486722632,0.0,39.399,0.0,0.0,0,0,100
12.1569,18.688333333333333,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,39.03044680281816,0.0,60.7845,0.0,0.0,0,0,100
10.4695,13.425,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,46.791061452513965,0.0,52.3475,0.0,0.0,0,0,100
9.5456,12.08,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,47.41192052980133,0.0,47.728,0.0,0.0,0,0,100
7.788,10.729999999999999,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,43.548928238583414,0.0,38.94,0.0,0.0,0,0,100
10.0595,12.508333333333333,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,48.25343104596935,0.0,50.2975,0.0,0.0,0,0,100
9.3544,12.746666666666666,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,44.03221757322176,0.0,46.772,0.0,0.0,0,0,100
10.9257,17.025,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,38.504669603524235,0.0,54.6285,0.0,0.0,0,0,100
10.475700000000002,15.225,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,41.28354679802957,0.0,52.37850000000001,0.0,0.0,0,0,100
6.9668,7.64,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,54.71308900523561,0.0,34.834,0.0,0.0,0,0,100
8.1912,10.095,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,48.684695393759284,0.0,40.956,0.0,0.0,0,0,100
7.4805,9.476666666666667,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,47.361589869855784,0.0,37.4025,0.0,0.0,0,0,100
9.477799999999998,11.776666666666667,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,48.28768751769034,0.0,47.388999999999996,0.0,0.0,0,0,100
8.585899999999999,10.955,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,47.02455499771793,0.0,42.92949999999999,0.0,0.0,0,0,100
11.3801,15.776666666666667,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,43.27948447073737,0.0,56.9005,0.0,0.0,0,0,100
10.1882,13.84,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,44.16849710982659,0.0,50.941,0.0,0.0,0,0,100
9.3796,11.873333333333333,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,47.39831555306008,0.0,46.897999999999996,0.0,0.0,0,0,100
9.3796,11.873333333333333,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,47.39831555306008,0.0,46.897999999999996,0.0,0.0,0,0,100
10.5359,17.956666666666667,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,35.204418043437904,0.0,52.6795,0.0,0.0,0,0,100
7.8725,9.711666666666668,0.0,0.0,0.0,5.0,5.0,5.0,0.0,15,5,1,0,0,48.63737772438647,0.0,39.3625,0.0,0.0,0,0,100
